127.0.0.1 - - [09/Jul/2017:15:50:02 +0300] "GET / HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:44 +0300] "GET /LogViewerMain/ HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:53 +0300] "GET /LogViewerMain/css/login.css HTTP/1.1" 200 4980
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:54 +0300] "GET /LogViewerMain/img/login/password.png HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:54 +0300] "GET /LogViewerMain/img/login/user.png HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:55 +0300] "GET /LogViewerMain/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:57 +0300] "GET /LogViewerMain/img/icon/favicon-16x16.png HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:10 +0300] "GET /LogViewerMain/Agent HTTP/1.1" 200 17752
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:11 +0300] "GET /LogViewerMain/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:11 +0300] "GET /LogViewerMain/css/jquery.toast.css HTTP/1.1" 200 4910
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:11 +0300] "GET /LogViewerMain/css/animate.css HTTP/1.1" 200 56455
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:12 +0300] "GET /plugins/bower_components/morrisjs/morris.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:12 +0300] "GET /plugins/bower_components/chartist-js/dist/chartist.min.css HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:12 +0300] "GET /plugins/bower_components/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css HTTP/1.1" 404 1181
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:12 +0300] "GET /LogViewerMain/css/sidebar-nav.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:12 +0300] "GET /LogViewerMain/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:12 +0300] "GET /LogViewerMain/css/style.css HTTP/1.1" 200 146621
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:59:12 +0300] "GET /LogViewerMain/css/colors/default.css HTTP/1.1" 200 6158
