0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:19:05 +0300] "GET /LogViewer/Fichier/parse?file=\Admin\Agent1-Agent%20rh\20170918165054app-2017-09-06.log&level=DEBUG HTTP/1.1" 200 20960
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:19:15 +0300] "GET /LogViewer/Fichier/parse?file=\Admin\Agent1-Agent%20rh\20170918165054app-2017-09-06.log&level=DEBUG&&page=113 HTTP/1.1" 200 21420
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:19:27 +0300] "GET /LogViewer/Fichier/parse?file=\Admin\Agent1-Agent%20rh\20170918165054app-2017-09-06.log&level=DEBUG&&page=113&&page=103 HTTP/1.1" 200 8550
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:19:27 +0300] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:19:27 +0300] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:23:02 +0300] "GET /LogViewer/Fichier/parse?file=\Admin\Agent1-Agent%20rh\20170918165054app-2017-09-06.log&level=DEBUG&&page=113 HTTP/1.1" 200 21402
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:23:04 +0300] "GET /LogViewer/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:23:04 +0300] "GET /LogViewer/css/sidebar-nav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:23:04 +0300] "GET /LogViewer/css/jquery.toast.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:23:04 +0300] "GET /LogViewer/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:23:04 +0300] "GET /LogViewer/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:23:04 +0300] "GET /LogViewer/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:21:23:04 +0300] "GET /LogViewer/css/colors/default.css HTTP/1.1" 304 -
